,"(TS, TS, TS, TS)","(TS, TS, EF, EF)","(EF, EF, EF, EF)"
1883,41.22422869,16.48378174,24.0761393
1884,-22.17560122,-20.84115055,10.44024752
1885,13.78773801,13.46801974,7.290398479
1886,13.87336245,5.280104495,32.76117652
1887,-7.449099171,31.36524106,-1.598908379
1888,1.082698297,29.2563032,4.344877443
1889,-25.85439153,47.28843262,14.17421949
1890,13.53414598,12.24155705,23.24155705
1891,-4.48159831,100.720595,22.02354222
1892,55.276206,6.457706604,-12.22529337
1893,-15.85929343,-21.79879322,6.861206152
1894,6.48992448,-6.434133348,-34.05442249
1895,52.11525182,22.60496364,31.88214408
1896,-15.90387448,4.599096456,-3.742951614
1897,-21.35706426,-0.475208818,5.335977821
1898,19.07037028,-10.63260064,-2.632600639
1899,14.31161586,-3.711591992,-27.42926677
1900,-41.96651578,21.45933322,4.911607329
1901,9.614669839,-0.037316212,39.84080689
1902,39.57189522,-19.8261605,40.45794769
1903,-11.28446246,34.2962781,24.79202339
1904,-14.41990191,16.44059893,10.59357686
1905,2.620840007,24.90663537,-15.64763737
1906,27.67570929,22.79044274,338.4405989
1907,8.440598934,28.15376532,17.8669317
1908,3.114931087,11.94721316,14.26604436
1909,55.18032786,-9.075793265,69.50047926
1910,-4.50980929,-12.75752354,44.51761967
1911,7.355684565,11.65961063,34.29557665
1912,-15.29240327,35.66242033,4.435098517
1913,2.89129386,9.510895404,120.9596376
1914,42.35853289,23.58011721,-16.85960678
1915,-18.08743927,-9.020630235,-4.054034754
1916,-11.74781928,16.45653554,-7.465883836
1917,-5.196166974,26.01568273,38.29057028
1918,24.89278412,55.10839335,21.41024627
1919,-7.863371159,-1.695867741,56.45043325
1920,46.98207517,47.04947912,-10.57423658
1921,8.603180699,-7.100589659,-38.3385992
1922,15.12635246,29.45199089,-8.571093833
1923,-14.94276157,0.488614482,2.883032307
1924,18.36466362,26.6938869,-12.37047814
1925,9.553084145,9.301855472,17.30087253
1926,32.63086868,-23.86578758,11.46581196
1927,-14.99836737,29.16599096,4.07653361
1928,-19.78702782,30.21297218,-3.416469708
1929,14.46990103,59.17660782,14.46990103
1930,1.769689513,-18.25093984,18.48100948
1931,16.73073975,-28.41646971,-9.157585926
1932,38.89970968,29.22985723,12.22985723
1933,35.76382772,14.85122992,28.07451406
1934,-1.108699188,-44.79482923,13.57534549
1935,6.478494019,-5.715771582,33.18726889
1936,40.71661105,-8.789322743,9.071290692
1937,-36.2763744,29.09675692,38.39011812
1938,-21.27350918,5.010728014,4.111044515
1939,-6.882386434,37.64782891,5.311725277
1940,22.74669726,17.32790181,808.6858884
1941,47.94679336,23.27887815,1.227035123
1942,8.195843193,19.08062288,14.06213145
1943,17.06875224,-12.34391711,-47.84689461
1944,-44.67251538,26.77642015,-52.505283
1945,-11.59507011,16.23769751,10.89089091
1946,2.339826444,-13.32570879,13.86620725
1947,17.04578147,4.364510102,-7.954218532
1948,31.74716003,28.16580508,15.64137563
1949,5.708247885,58.69612622,-11.26750878
1950,8.891741789,-42.659441,28.51879946
1951,-8.172616825,44.87171766,-7.607521752
1952,6.807579338,17.38934241,-18.86536838
1953,-21.51947295,13.3475714,6.701109451
1954,-15.52711557,8.404627652,-12.78182635
1955,3.807579338,44.50345492,5.396985031
1956,9.659842612,19.03215311,37.63520949
1957,-1.778859062,35.45866639,-5.909512944
1958,66.98324118,-63.40762257,-0.124206102
1959,49.54229754,13.73675445,2.285127068
1960,-16.08076541,36.6359758,127.6165196
1961,41.5485853,-10.86271447,-14.06256682
1962,38.96017537,6.880479127,22.32769317
1963,37.7820668,177.2697787,18.98432733
1964,2.174855537,39.26786773,13.87252627
1965,12.69202027,4.71634959,70.62258314
1966,-28.17767927,-5.208816502,47.33788935
