,Solo,Sensitive,Naive,Adjust
271,6.5,6.5,9.25,10.75
272,3.25,6.75,27.75,4.25
273,-5.0,4.5,9.0,8.5
274,-9.25,13.75,16.5,1.25
275,11.0,3.25,23.0,-1.0
276,2.5,-1.75,9.0,9.5
277,5.75,8.25,16.25,3.5
278,1.75,6.25,1.0,3.75
279,-1.25,14.75,4.25,8.25
280,13.25,7.75,7.0,2.75
281,3.0,5.75,2.5,5.0
282,2.25,2.75,13.25,2.25
283,1.25,6.5,10.0,3.75
284,6.0,-0.5,19.25,0.75
285,4.25,2.5,52.75,10.75
286,7.5,-5.25,21.0,7.25
287,-0.75,6.0,22.0,6.25
288,-1.25,7.75,10.5,1.5
289,11.5,0.0,10.5,1.75
290,3.5,2.5,13.25,7.25
291,-0.5,4.75,31.5,4.5
292,8.0,-0.25,1.75,-1.25
293,8.25,3.5,10.5,-6.0
294,5.25,4.0,23.75,4.25
295,-6.0,0.0,24.75,0.0
296,5.75,2.75,36.75,6.5
297,0.25,9.25,5.75,2.25
298,-5.25,-5.5,38.75,10.0
299,2.25,-8.0,49.75,13.0
300,34.75,35.0,35.75,8.5
301,1.0,9.5,1.0,6.75
302,6.5,6.5,0.75,0.75
303,-1.0,9.25,70.75,7.0
304,5.5,1.25,18.75,2.75
305,6.5,4.25,11.75,-7.5
306,8.0,8.0,23.75,3.75
307,17.25,-3.75,20.25,0.75
308,4.0,3.0,39.75,7.5
309,0.75,-3.75,32.25,8.0
310,7.0,-2.75,44.75,3.5
311,5.25,3.75,30.5,-6.75
312,6.75,4.0,12.75,10.0
313,-0.75,-1.75,36.75,-3.0
314,4.25,4.75,46.5,-4.75
315,8.0,-2.25,18.25,-1.25
316,2.5,1.5,29.5,7.25
317,7.75,5.0,4.5,3.75
318,-1.0,-3.0,28.75,6.0
319,3.25,0.25,3.25,6.5
320,-1.75,14.25,-2.75,4.5
321,9.5,7.5,5.25,5.25
322,-2.25,4.0,1.5,6.75
323,10.0,6.25,4.75,0.25
324,3.5,6.25,61.25,9.5
325,6.75,7.75,26.25,1.75
326,-1.5,1.75,20.25,9.75
327,1.25,13.5,2.75,1.5
328,-1.25,6.75,65.5,-1.25
329,11.25,3.75,0.75,2.5
330,1.75,4.25,43.0,12.5
331,1.5,-2.5,41.75,-5.75
332,9.75,8.0,19.0,-0.5
333,-7.5,5.5,18.75,-5.0
334,10.75,-1.25,41.5,2.0
335,5.0,17.5,33.25,0.25
336,4.0,-2.25,23.75,11.0
337,10.5,-2.0,44.5,-0.75
338,9.75,-10.25,3.0,-0.25
339,9.0,-0.75,28.0,6.0
340,9.5,9.75,26.0,8.25
341,-1.25,0.75,45.0,6.5
342,6.0,2.0,32.75,5.75
343,3.0,13.5,33.25,6.25
344,2.5,3.0,7.25,14.75
345,9.0,7.25,56.0,5.75
346,5.75,10.5,54.5,9.25
347,8.75,6.25,15.5,-6.75
348,2.75,9.5,24.0,-2.0
349,-0.5,4.5,32.25,4.0
350,2.75,-7.0,31.0,7.25
351,-0.5,-0.25,38.0,4.0
352,-4.0,9.75,39.75,18.25
353,6.75,7.5,49.5,1.0
354,1.0,12.5,21.0,-6.5
355,9.5,4.5,23.75,7.5
356,8.5,7.25,20.0,10.75
357,5.0,6.5,29.25,12.0
358,2.0,15.25,13.75,7.0
359,10.75,8.75,10.75,7.0
360,10.0,-7.25,47.25,5.75
361,7.0,0.5,50.5,5.75
362,-1.75,-7.25,21.0,-1.25
363,10.5,12.5,-1.5,-4.0
364,-0.25,1.25,14.0,1.75
365,9.75,2.75,10.5,1.75
366,-5.5,7.5,57.75,1.75
367,-6.5,11.25,25.25,-2.0
368,7.25,2.5,48.75,5.0
369,1.25,13.0,34.25,-3.0
370,-5.25,7.0,20.5,-1.25
371,7.0,15.5,2.5,5.0
372,5.0,18.0,52.25,1.0
373,6.25,0.0,6.25,-2.5
374,2.5,2.75,24.5,13.25
375,-2.5,3.5,41.0,0.0
376,1.75,4.75,2.0,5.75
377,8.5,10.75,7.25,14.25
378,12.5,-6.5,15.0,2.0
379,-1.5,2.5,-7.0,3.0
380,8.0,7.0,8.5,2.75
381,11.0,6.25,60.5,4.25
382,0.25,14.75,7.75,-3.0
383,11.75,5.75,51.5,1.5
384,-2.5,9.0,5.5,15.0
385,-3.25,7.5,-0.25,-4.25
386,-7.75,0.0,-8.0,10.25
387,4.5,11.25,1.0,5.5
388,5.5,8.0,13.5,12.75
389,3.0,1.0,-5.5,-0.25
390,5.75,12.0,-3.0,0.75
391,-1.75,8.5,69.0,0.75
392,0.25,9.0,10.5,-3.25
393,13.0,0.5,24.75,3.5
394,6.5,-4.75,21.0,5.5
395,-4.0,3.25,7.75,14.5
396,5.25,15.5,2.0,-0.5
397,2.25,6.25,-8.25,4.0
398,8.5,-2.25,1.25,4.0
399,-1.25,3.75,-7.25,13.0
400,4.25,22.75,25.0,2.5
401,23.75,0.25,17.75,2.75
402,2.25,14.0,19.0,3.5
403,10.5,-1.0,12.0,4.5
404,1.75,6.0,32.75,-3.0
405,-0.25,1.25,25.75,0.25
406,0.0,-3.25,13.75,4.75
407,-3.5,29.75,4.0,9.75
408,4.5,-8.0,45.25,2.75
409,14.0,14.75,32.25,9.75
410,7.5,20.5,54.25,4.75
411,14.25,2.5,34.25,7.75
412,7.75,5.25,28.75,12.25
413,4.0,12.5,1.25,1.25
414,8.5,4.75,8.75,9.5
415,7.25,4.75,38.5,5.75
416,9.25,-2.25,50.25,8.25
417,-3.0,-6.75,66.5,1.75
418,11.0,-6.25,6.75,-1.75
419,23.0,1.75,10.75,11.75
420,4.25,9.25,40.75,13.75
421,-6.5,-8.75,34.5,8.0
422,8.25,17.75,39.5,2.0
423,4.25,2.0,36.75,4.5
424,5.75,0.0,13.0,1.75
425,11.25,6.75,5.5,-5.0
426,5.0,3.25,33.75,-2.5
427,-2.25,4.25,46.75,10.25
428,7.5,16.5,40.75,3.25
429,14.0,5.0,55.5,6.5
430,-4.0,6.0,25.75,3.75
431,3.0,15.75,23.25,4.5
432,-4.25,5.5,-6.0,5.5
433,1.5,2.25,0.0,4.25
434,1.5,1.75,9.25,4.5
435,6.25,6.0,30.0,2.25
436,2.25,8.0,21.5,12.75
437,-10.5,5.75,22.25,1.25
438,11.0,11.5,15.0,3.5
439,-2.25,0.25,1.0,2.25
440,0.5,10.25,5.25,1.5
441,-2.25,5.0,-7.0,-1.5
442,1.0,2.75,4.0,-4.25
443,7.0,-10.0,20.0,0.5
444,9.25,6.75,15.75,18.0
445,-1.5,8.75,5.25,1.25
446,-0.25,13.0,2.5,8.5
447,2.0,0.25,2.25,7.5
448,1.0,6.25,21.75,9.5
449,5.75,5.5,37.0,4.0
450,-5.5,3.25,13.25,2.5
451,-6.75,6.0,16.75,8.75
452,7.5,8.25,27.0,1.0
453,4.25,7.25,43.75,-3.0
454,2.5,7.75,28.0,3.25
455,-0.25,0.0,30.25,5.75
456,4.5,1.0,25.0,2.5
457,8.75,-2.25,16.75,14.75
458,0.25,1.75,32.5,10.75
459,-1.25,-0.5,30.0,-0.75
460,9.75,-3.25,26.75,-7.75
461,8.75,2.25,38.0,2.25
462,1.0,3.5,46.5,2.5
463,10.0,-1.25,15.25,4.0
464,-0.5,10.25,10.75,0.0
465,3.0,9.75,26.5,9.0
466,3.75,9.25,56.5,6.0
467,7.25,2.75,20.25,3.75
468,-1.0,1.25,-1.75,4.5
469,6.25,-3.75,6.0,10.25
470,-4.75,2.25,11.5,7.0
471,-1.0,0.25,62.5,9.25
472,3.75,8.5,22.0,-2.75
473,-4.25,-4.25,1.75,-2.0
474,8.0,5.25,-1.25,8.0
475,11.0,14.0,8.5,7.5
476,2.0,-5.0,-2.25,14.0
477,8.0,11.0,5.0,14.75
478,2.0,-0.5,66.5,4.0
479,3.5,3.5,29.75,-2.75
480,1.5,-2.5,24.5,-12.25
481,2.0,3.5,52.25,4.0
482,8.0,6.0,8.5,0.25
483,6.25,12.25,15.25,1.0
484,4.75,-1.5,0.75,-2.75
485,-3.25,3.25,41.75,12.25
486,8.0,0.5,10.5,4.75
487,0.75,9.0,-0.25,-0.75
488,10.25,-1.0,45.25,-1.75
489,0.25,0.75,35.25,-3.25
490,4.0,12.25,26.0,6.5
491,2.25,-2.25,63.75,7.5
492,5.75,-4.5,23.0,1.0
493,4.75,8.75,-2.0,10.5
494,0.5,2.0,48.0,6.0
495,-2.5,6.75,8.75,1.75
496,-2.5,2.25,18.5,11.25
497,4.75,-1.5,11.5,16.5
498,4.5,1.5,15.75,6.5
499,11.0,3.5,8.75,-2.25
500,3.0,0.75,31.5,8.75
501,11.0,13.25,26.75,-0.5
502,10.5,3.0,55.5,-6.5
503,4.25,2.5,54.0,2.5
504,7.5,7.5,4.5,-5.5
505,0.25,1.75,2.5,0.25
506,6.75,2.75,45.25,2.5
507,9.5,-4.75,35.25,-0.75
508,5.5,4.0,2.5,4.0
509,2.5,-6.5,0.5,0.25
510,3.75,9.75,13.75,4.5
511,19.25,10.5,10.75,-1.75
512,-0.75,-1.5,32.75,12.0
513,4.75,12.5,11.5,2.75
514,-5.25,5.0,48.75,7.25
515,4.5,-5.5,37.75,1.5
516,16.75,7.0,-2.5,-0.5
517,4.25,-1.5,56.0,5.75
