,EFEFEFEF,TSTSTSTS,TSTSEFEF,EGEDEFTS
,-44.5822027,12.13666991,-6.072883942,8.691985386
,-14.29237975,3.690407176,16.55382147,-0.779780587
,23.77707052,21.85002419,21.58969668,-9.390979206
,0.002710058,11.48500476,2.524720914,13.74603968
,31.82727618,-11.52611031,1.213046169,21.89330214
,-3.742083159,24.86513246,-11.47527909,-5.649865647
,-26.11742842,20.127251,4.764694813,-24.84199782
,-31.44028169,5.953027871,34.37712294,63.10427888
,-46.85392814,-21.8085282,5.773462364,-9.102304878
,67.54498364,-14.22119525,22.6092395,-39.5698329
,27.63031985,17.19634457,25.17679665,6.346126193
,-1.605060576,13.78226781,-38.7527775,23.6378498
,-7.295288205,14.39411449,70.83524746,43.7376016
,31.83490484,-21.29842797,-3.309121121,-11.58322136
,46.89504829,-10.50252325,-0.607049456,6.325048451
,5.804369367,25.5935616,47.64612968,8.122766018
,4.31248734,-27.28049908,9.590941901,61.24909685
,11.90091001,-55.33704849,23.40854005,28.32504845
,19.17735933,45.1252151,38.58089209,-60.33102115
,7.608618468,-41.36872716,29.11627512,76.39908791
,48.35976112,1.468762378,1.619166452,22.64601596
,-3.566898326,-25.68444684,6.701497839,57.22650666
,-34.34929794,38.42995979,17.0507895,12.35480806
,-3.899519411,26.85400118,35.42316625,-18.26850554
,38.92811276,-14.85984998,19.4308138,18.37126239
,3.93657594,33.37605412,4.545200655,27.4332274
,-16.30067831,39.54120137,-24.75165128,25.49078635
,-9.035580545,17.00326397,5.229960961,0.064810606
,6.735195026,23.1029153,11.02662472,-3.590767177
,30.36650045,-10.79603056,11.30276849,-26.25177175
,24.16954736,18.4908758,4.87544232,7.594488142
,15.75968891,9.039994943,12.87928395,21.24233823
,33.46929136,-24.95360915,7.372808561,11.93154733
,9.254593644,9.009743197,29.25088187,41.23303684
,16.97722426,-3.566300624,-11.32695701,-19.86933305
,-12.10379674,-13.20560137,-22.44941237,-0.381787713
,-15.37460775,-15.82853793,49.64645073,-24.34642764
,-22.70424134,-67.23182549,25.98164419,2.815216574
,18.25323388,8.9158645,-13.89330488,-4.772827814
,6.118009413,26.43567295,-23.70642252,-8.097911748
,68.39005803,-18.69417501,14.55731633,52.2922228
,-3.565044891,2.171478043,12.65081159,14.70048143
,-27.59453845,2.82305904,-2.408368408,-8.690415442
,2.632060338,-35.3319782,6.309590967,-31.86072048
,-15.35826059,6.361939211,16.53744097,-29.89475766
,12.62498863,-58.37012742,9.912339898,2.15796934
,13.32203951,25.70674041,1.416644336,18.64263142
,-23.93182671,-2.844674198,-0.87650534,-12.79935111
,-26.71904641,-23.81699591,6.139756727,14.30246485
,-23.52257615,14.95274737,7.683612946,4.727646237
,-27.83201797,22.91231431,-16.5243621,33.26953042
,-19.67486499,-18.58150148,33.68497946,30.84408668
,6.096039691,-30.43725142,-21.46403281,0.723479803
,-9.145230616,7.256623862,61.97088674,3.65855939
,-42.82570456,-16.99967579,9.658506604,-4.678211439
,10.39651814,-12.16125105,-37.62517072,28.30369636
,-15.76246788,-21.66702255,3.821733351,-41.69098241
,35.59311454,8.048912163,67.1196694,3.367437751
,4.717838831,72.99220571,36.99176337,-21.74068778
,38.52862976,11.10066795,-16.51400835,14.81717651
,-10.64906983,11.06129696,-4.70187162,6.213461072
,-1.500358461,-17.1172045,-17.45429112,52.23369344
,29.61169189,-7.695146379,26.14085923,-19.61037504
,10.37813014,35.6526653,21.02451407,11.7790797
,12.51853959,14.22057418,-31.96496807,-0.352615445
,16.32763708,28.43661974,0.364128265,28.69630526
,17.02830575,9.413134905,-9.124187565,45.84356518
,22.32780884,-29.70469961,3.65966491,13.9343061
,-43.32240712,-16.02237282,-32.73690635,0.161204053
,16.0053885,22.7189857,26.19056878,-19.45108425
,14.86696692,-10.49047918,59.45227151,39.14452511
,13.05677136,-3.781152282,-4.19477512,8.818740136
,-36.09172406,-27.77081528,-17.43043989,-27.18125986
,-12.19895651,0.297543912,27.48335828,63.34334523
,-12.47874787,9.462383875,36.89974148,27.35349156
,-21.05953076,-18.19679833,1.312517811,43.56884194
,53.18479959,24.12150955,23.24170294,8.199616878
,27.21974686,-9.187203919,-18.15242738,36.72271662
,-12.53645435,-22.51633476,64.40344013,31.60768599
,-27.26321766,-29.8663349,62.40147463,4.722017259
,12.47945303,56.38459072,29.17230827,65.69809301
,-35.66170484,-1.419703194,47.81774844,48.94431886
,14.85343707,12.25845549,23.58227055,0.769064743
,36.07094216,30.07121585,51.31362982,-52.57385989
,-3.746014038,15.98280046,43.08380464,0.735380913
,-4.712752086,-24.94332672,-0.999962853,-1.893947399
,-17.35644257,20.26043591,-23.98265496,39.2785834
,108.652718,21.73818049,11.58733044,28.15843195
,-4.773337477,-22.14819837,-3.468146596,33.4758764
,29.77180549,-8.483325655,14.87189874,18.27341203
,-7.399548746,5.67928332,9.005996617,-17.91841436
,30.91164879,68.2690279,-61.97273378,6.052304379
,-13.36312329,-2.820675178,50.20152046,21.33354319
,42.64636657,-19.90740067,2.167812001,13.18939477
,-1.9528246,-37.27902949,3.40195374,48.01448152
,-31.82861014,-54.93912882,44.17550536,44.70034364
,30.53925531,2.097596539,-8.980497052,-36.02679356
,15.23236728,3.913934958,36.08775933,-25.4731608
,20.21076545,3.373180611,-12.47422226,12.86299407
,-30.05287789,10.76937614,-3.156780901,33.77954955
,18.65656135,3.183888754,-13.20732673,11.88042497
,-61.15729489,27.14828945,37.34994089,27.64975175
,34.28230201,-24.43882852,-6.409332949,-3.012852343
,38.9001071,-26.91877212,6.073017612,36.20543058
,40.85254636,-18.92465998,-57.40243779,-9.199620302
,-2.472630741,25.80690191,-9.227589594,-16.85327856
,-29.54833616,-14.13193431,20.52872822,36.90501122
,23.41628175,-10.26142532,14.12382456,27.75091648
,-28.19379686,-22.8391586,-17.06096003,7.807244725
,35.45608911,35.13148912,-51.09629452,-8.573944506
,11.35920841,32.7170779,58.11732973,18.09337705
,16.1806678,-18.64764782,14.02737588,15.81955889
,11.00198302,18.42248236,-0.561149561,-61.1958199
,-5.496796355,12.52068087,-22.25701744,-18.76673022
,10.7051176,37.42738806,1.837395127,6.891431373
,10.03400623,-21.11680479,53.60021911,-2.286444389
,17.16826799,3.781636769,15.47280616,-36.63002279
,-1.682379609,-13.4673088,25.59139417,15.42675582
,-2.114141987,-15.50559902,46.96635436,72.96086558
,-12.28025791,-10.29550692,-24.38414612,-6.575943522
,6.863789515,16.20223649,56.63819169,-9.092761846
,0.000819953,45.32724087,15.68169844,9.896025938
,17.06694237,-5.016756472,24.1845041,-22.59402991
,-0.180387483,-7.361105921,11.78357964,-4.720529391
,-35.4121016,-33.39776483,9.311237198,29.72336948
,-15.6630451,0.238218742,-30.52661837,11.05898688
,-4.792919425,24.65352724,32.55069157,58.24180742
,3.632560286,-22.60329202,-17.36590535,6.903765024
,8.095070574,3.552016073,35.12068304,-7.1492046
,-9.43767804,-8.344072462,47.05613991,-34.36882943
,11.4223558,27.15511189,20.89379951,25.06251461
,-46.06415594,20.62982206,-1.595825593,-48.94223104
,4.635416316,2.768803909,-7.053270341,12.76406084
,27.87873778,-28.47350097,4.574614103,10.82516346
,4.205535159,-25.96788846,11.28300637,1.989180682
,24.48185415,29.73133188,13.35206086,-20.5958731
,-4.945871282,-0.659714921,19.8530973,68.67129046
,-28.74107928,19.35555704,-16.99900069,-84.103478
,18.28349778,-11.09495195,-9.032879571,34.44561219
,17.72456694,16.6808123,-20.57427487,33.20843798
,-15.70738894,0.460048106,-23.73440695,-11.25952977
,-27.82828838,0.156689268,4.408602851,8.93352855
,-23.5206154,19.63655106,-3.920472909,17.56897057
,-24.77606226,18.70897206,-1.472219004,9.14151564
,19.21338581,-7.698653197,8.597313172,-5.368884687
,-20.48455306,13.71121741,-18.36689179,51.27903896
,22.25804838,4.176626522,30.7549464,2.72857442
,41.19466923,24.16623316,-0.264987407,16.42020368
,17.23578019,43.47788628,-10.75885459,14.45982797
,-44.73182971,12.4432642,-27.44814814,16.83366732
,34.45676238,-11.277903,13.16605857,11.0354629
,26.89176276,22.81776032,-12.48994149,2.906853337
,4.478161152,29.10838658,-44.99582376,-27.74195568
,-0.184502894,-3.742072331,42.79758796,6.819949881
,-4.421028526,-25.90527205,-24.05864093,27.99837141
,-18.95095069,-8.905272047,-5.208995548,10.88703915
,-15.09216295,1.982995638,39.2773817,-33.80931481
,42.4911446,25.58475035,13.7146037,-0.786164321
,-1.637987177,-7.472555218,28.71205302,9.609956411
