,TS,EG,EF,ED,
49,20.36192051,-2.108312802,5.135231343,24.91110758,
50,-9.11793531,32.81358859,-14.70394728,6.23953757,
51,41.23939679,8.950926468,-5.756802051,10.74772079,
52,37.288208,-29.64904632,32.67965642,21.93457229,
53,18.43945591,3.087629624,-1.637631603,69.52865864,
54,9.541244458,-39.82832016,7.171679843,-25.18686783,
55,-21.21808491,31.84541854,-0.381472094,-24.49539107,
56,9.527787873,18.09209746,-20.27669294,19.98521921,
57,-0.854522664,11.38655928,17.1113613,-16.45160803,
58,11.52291961,45.78404104,-28.45475644,-3.42086066,
59,16.34056484,0.333786548,17.12281925,-6.86916784,
60,-8.185834148,16.69113929,-49.41594362,52.52872046,
61,42.75408896,8.772348702,19.67864738,-37.26475343,
62,51.38669903,-13.61272694,16.60289878,20.39728967,
63,23.7723487,-20.13719232,-35.47204809,20.83934591,
64,13.33794955,50.11714192,57.15424265,0.23564689,
65,7.618336342,51.44778576,7.374540744,-38.18034605,
66,-38.58619911,54.77574451,-17.2650329,12.18189132,
67,29.54221718,35.72341073,9.430793326,-4.489126895,
68,19.61123906,3.548227417,9.104056853,-36.0100249,
69,-33.86097177,10.44065595,19.16702829,9.731761756,
70,33.67058364,8.892960032,-1.027085803,35.73037935,
71,-0.861571536,28.84177154,53.89296003,-49.91541115,
72,19.62870649,13.92087916,21.17739522,29.20940759,
73,-36.88445715,-36.62387539,21.74748421,29.10805266,
74,-21.48652763,20.00669773,27.36990067,-8.651759178,
75,57.80025037,35.65010454,32.41009319,-18.13373808,
76,21.88062735,8.205930589,-18.35661212,12.88062735,
77,6.183298268,-1.547249102,13.17689786,-35.16941485,
78,18.79280173,-11.51806543,-4.262612641,-5.534337072,
79,8.465662928,18.28596106,5.472702522,19.83872574,
80,-5.860327771,-17.3777858,-11.43539997,-5.860327771,
81,37.00677977,62.25802263,-1.419091789,27.28047768,
82,41.57360808,7.459383952,3.294092415,-36.16336604,
83,-4.662305097,6.204778981,11.58404173,-12.77915641,
84,27.56586656,12.31176805,9.08505515,34.54359126,
85,-33.73940241,-6.275464378,-17.49819235,21.55667683,
86,-8.646071369,-56.17257314,-12.26312655,10.99230896,
87,-19.34116334,-33.10825584,-36.46805222,-0.128864479,
88,-16.31902429,-0.506150161,1.712268993,-6.662208327,
89,30.92358768,-6.819822443,43.99290539,23.2816162,
90,10.15823154,2.1974814,40.95635684,24.76994828,
91,-24.43883928,16.58357209,10.1974814,10.2816162,
92,4.560354507,35.45892905,-1.192631183,6.785785904,
93,-3.986108822,-19.69860256,30.60626407,-3.170907745,
94,-58.8511064,24.31894327,-12.11949114,22.89711212,
95,20.77476027,-0.703139475,-27.66474008,42.51902127,
96,-9.771802931,37.45101314,16.25961045,-14.47916558,
97,-8.38254818,8.649675022,1.806705681,-36.63289015,
98,-49.80618599,20.39135421,31.15698664,6.662175737,
99,-1.065510151,16.76465093,-33.71679344,31.00691295,
100,15.87702837,51.17765856,20.22223574,38.87353406,
101,1.389244331,0.470993109,-18.54075654,-21.57797588,
102,42.17765856,-30.34743664,-18.67530504,11.02559631,
103,-4.264209036,-11.90729453,-14.32598926,24.0173173,
104,8.141812922,17.61471148,-21.79161127,1.216140923,
105,14.6621166,43.76594059,41.545354,36.64129147,
106,-9.872464567,-3.719465495,25.59961359,6.199805929,
107,-5.643802782,-7.0107873,8.839247607,43.15630581,
108,-14.76825087,42.34603541,19.46219648,-1.179887663,
109,33.28124506,-32.74069253,46.47798351,-6.032163749,
110,5.407494344,19.96728757,-27.70543718,-1.820391259,
111,-11.87253165,4.574054685,20.62614886,11.78946678,
112,33.87405902,-24.61874026,15.47247812,-19.05942358,
113,24.40623518,-5.846292079,-14.62481359,1.802170674,
114,28.40831647,22.80690903,-41.19106762,-7.948250911,
115,10.19837136,30.37518641,-48.8845203,-23.69843836,
116,15.40548651,-17.78023979,12.85104043,20.62215385,
117,8.942112252,-51.92474638,1.31083513,-18.00010299,
