,Thompson Sampling,Epsilon Greedy,Epsilon First,Epsilon Decreasing
60,-2.094102982,-20.45881746,18.45000392,35.36179011
61,-20.31858675,-8.1928496,-19.60559858,-27.14408471
62,8.041856957,43.19852181,-36.58480245,-18.10623491
63,-7.861230193,6.83044351,21.1755283,28.45985031
64,2.775045376,2.885847817,-9.089375084,22.07098156
65,25.02164965,-23.254392,-12.47522533,-0.579391971
66,-11.55586603,-4.71638627,-1.136126151,34.26951381
67,-8.723403115,6.684893905,-13.57870284,26.26369499
68,-25.31473013,-8.697884432,29.11747448,19.83242077
69,5.925391168,1.241770381,17.36567824,-17.54805715
70,42.30055454,69.95022461,62.65139205,-2.099242428
71,-1.981837893,-16.42532959,27.57467041,-13.66626882
72,-3.187927107,16.14051481,124.3741503,10.04570842
73,15.51085901,-47.01657744,-15.7836537,16.54767309
74,35.76257323,109.4571457,23.06407771,10.97251419
75,28.37304987,-19.77387353,0.249341847,-2.552216576
76,-41.2491942,25.43278143,-34.03133129,-29.69576694
77,-5.157726045,-6.211203101,-6.513337992,17.60697491
78,25.05550337,3.255004297,14.45325755,-20.54050406
79,46.41145562,31.78041396,23.43720319,13.2047522
80,6.557743268,17.4317301,-25.04711993,-8.106517165
81,5.950406969,33.96894829,1.721730672,4.117278861
82,-1.792801039,64.74052856,29.25066992,7.876752501
83,7.737884589,52.31736516,-122.0303232,10.10710545
84,-13.74649373,-30.41599352,4.98777177,-21.91002265
85,17.58506795,-45.11180206,-5.433054055,24.91538095
86,-29.85485416,31.51726909,17.49131819,-46.48273091
87,-12.6831532,-4.806403173,35.66661346,28.30196905
88,3.307008088,197.9532184,5.276323553,83.14471643
89,0.701678229,-15.51403505,-5.754168698,18.3842134
90,30.95177761,32.56619308,40.59715922,27.4713718
91,22.24775356,-19.29781312,22.76909165,8.897120225
92,-39.3891035,1.604067436,25.90850633,-9.840640038
93,-24.47105228,20.03065498,-14.81883284,38.43543533
94,-30.98486967,-26.98668411,3.011501458,-47.65032671
95,6.792725695,-8.940667837,35.73763088,-13.22074007
96,3.222504255,-19.893716,27.18376417,-14.61466094
97,9.310173642,40.59205261,0.934334527,33.05514043
98,8.277967475,16.03956388,18.1276437,13.59916478
99,35.41602656,-6.333190988,25.66538637,57.79106212
100,440.6536604,2.608681108,43.65657803,-22.82239119
101,18.90397438,14.04126755,-42.88344942,59.5913111
102,-64.53610245,32.61403653,184.5120908,-16.38596347
103,7.12663607,6.585052712,0.226436129,8.043469355
104,24.93953923,-24.03974512,-15.35299059,0.449897056
105,-23.35547755,-35.02364304,-10.46309141,23.75663277
106,-25.04484643,-15.25830993,58.94767385,11.13869818
107,31.83346154,-12.86980446,-45.16653846,-3.441266297
108,4.73618989,157.9167871,29.42849177,-0.074847026
109,3.391082118,-30.84790174,15.85575827,-3.867020451
110,-16.23084295,-22.60143831,8.699169152,-3.237890384
111,54.37066917,-26.39375696,12.95942093,-10.35455562
112,44.8142618,-37.94993428,11.21772849,5.319940226
113,-13.85738559,39.1160433,60.52023294,-6.168576324
114,-36.75077607,-1.035053356,-34.54366914,-4.135556305
115,-39.97711279,21.16223843,16.1588367,27.26684301
116,-3.787431678,28.44923915,-30.6118789,1.212568322
117,27.54690804,-15.60448155,-7.632273253,-12.48502736
